~다,~하다,무변경,명사형으로
'좋', '욕','저조', '고장나'
'힘들', '잘못','훌륭', '짜증나'
'어둡', '망','깨끗',
'잘되', '무난', '문제',
 '나쁘',, '저렴',
 '거슬리',, '대단',
 '즐겁',, '깔끔',
 '안타깝',, '답답',
 '부럽',, '편리',
 '안되',, '의심',
 '빠르',, '싸다',
 '부드럽',, '불량',
 '괜찮',, '완벽',
 '심하',, '편의',
 '잘하',, '복잡',
 '편하',, '만족',
 '귀찮',, '튼튼',
 '무겁',, '친절',
 '어렵',, '충분',
 '느리',, '시원',
 '끌리',, '불편',
 '오래가',, '선명',
 '뜨겁',, '불안',
 '비싸',, '애매',
 '예쁘',, '심각',
 '신경쓰',, '용이',
 '새롭',, '불가능',
 '늦',,,
 '이쁘',, '좋아지',('좋'에 포함)
 '싫',, '좋다',('좋'에 포함)
 '아쉽',, '좋아하',('좋'에 포함)
 '가볍',, '괜찮다',('괜찮'에 포함)
